creationdateuserloan;Closing price
2019-02-25;1,586.55
2019-02-22;1,588.83
2019-02-21;1,572.65
2019-02-20;1,588.61
2019-02-19;1,587.22
2019-02-18;1,583.86
2019-02-15;1,583.82
2019-02-14;1,562.36
2019-02-13;1,558.58
2019-02-12;1,549.41
2019-02-11;1,542.33
2019-02-08;1,527.17
2019-02-07;1,529.28
2019-02-06;1,551.15
2019-02-05;1,542.49
2019-02-04;1,527.19
2019-02-01;1,525.69
2019-01-31;1,515.42
2019-01-30;1,509.50
2019-01-29;1,502.72
2019-01-28;1,491.01
2019-01-25;1,501.12
2019-01-24;1,488.40
2019-01-23;1,478.72
2019-01-22;1,486.32
2019-01-21;1,493.76
2019-01-18;1,499.79
2019-01-17;1,473.89
2019-01-16;1,468.85
2019-01-15;1,455.48
2019-01-14;1,458.13
2019-01-11;1,465.43
2019-01-10;1,470.69
2019-01-09;1,470.51
2019-01-08;1,457.47
2019-01-07;1,439.93
2019-01-04;1,435.29
2019-01-03;1,393.52
2019-01-02;1,405.85
2018-12-28;1,408.74
2018-12-27;1,384.59
2018-12-21;1,408.34
2018-12-20;1,419.01
2018-12-19;1,450.11
2018-12-18;1,447.79
2018-12-17;1,451.95
2018-12-14;1,471.67
2018-12-13;1,478.75
2018-12-12;1,494.21
2018-12-11;1,465.29
2018-12-10;1,435.55
2018-12-07;1,454.03
2018-12-06;1,436.66
2018-12-05;1,478.96
2018-12-04;1,506.43
2018-12-03;1,529.78
2018-11-30;1,514.63
2018-11-29;1,515.38
2018-11-28;1,500.45
2018-11-27;1,496.41
2018-11-26;1,498.25
2018-11-23;1,477.35
2018-11-22;1,466.39
2018-11-21;1,478.44
2018-11-20;1,456.85
2018-11-19;1,482.49
2018-11-16;1,499.43
2018-11-15;1,489.79
2018-11-14;1,502.45
2018-11-13;1,520.26
2018-11-12;1,514.59
2018-11-09;1,530.51
2018-11-08;1,536.79
2018-11-07;1,538.69
2018-11-06;1,534.60
2018-11-05;1,539.01
2018-11-02;1,551.39
2018-11-01;1,531.26
2018-10-31;1,538.22
2018-10-30;1,516.00
2018-10-29;1,503.14
2018-10-26;1,485.27
2018-10-25;1,506.02
2018-10-24;1,501.47
2018-10-23;1,508.88
2018-10-22;1,526.05
2018-10-19;1,531.66
2018-10-18;1,543.87
2018-10-17;1,548.27
2018-10-16;1,554.16
2018-10-15;1,536.10
2018-10-12;1,536.46
2018-10-11;1,550.41
2018-10-10;1,595.13
2018-10-09;1,624.49
2018-10-08;1,621.19
2018-10-05;1,634.86
2018-10-04;1,648.96
2018-10-03;1,665.14
2018-10-02;1,656.90
2018-10-01;1,667.45
2018-09-28;1,662.36
2018-09-27;1,676.37
2018-09-26;1,658.29
2018-09-25;1,656.71
2018-09-24;1,655.01
2018-09-21;1,662.32
2018-09-20;1,645.84
2018-09-19;1,630.50
2018-09-18;1,625.45
2018-09-17;1,640.60
2018-09-14;1,634.74
2018-09-13;1,621.85
2018-09-12;1,618.81
2018-09-11;1,620.39
2018-09-10;1,624.25
2018-09-07;1,618.20
2018-09-06;1,632.42
2018-09-05;1,631.74
2018-09-04;1,645.95
2018-09-03;1,660.14
2018-08-31;1,658.16
2018-08-30;1,672.56
2018-08-29;1,677.22
2018-08-28;1,671.15
2018-08-27;1,665.10
2018-08-24;1,646.87
2018-08-23;1,643.71
2018-08-22;1,643.46
2018-08-21;1,637.60
2018-08-20;1,630.92
2018-08-17;1,622.71
2018-08-16;1,611.33
2018-08-15;1,593.59
2018-08-14;1,608.56
2018-08-13;1,611.80
2018-08-10;1,616.82
2018-08-09;1,631.23
2018-08-08;1,622.63
2018-08-07;1,619.89
2018-08-06;1,608.48
2018-08-03;1,611.95
2018-08-02;1,598.06
2018-08-01;1,612.54
2018-07-31;1,615.60
2018-07-30;1,611.07
2018-07-27;1,612.76
2018-07-26;1,608.80
2018-07-25;1,593.27
2018-07-24;1,601.38
2018-07-23;1,580.50
2018-07-20;1,579.40
2018-07-19;1,584.34
2018-07-18;1,570.42
2018-07-17;1,556.61
2018-07-16;1,552.75
2018-07-13;1,550.88
2018-07-12;1,541.52
2018-07-11;1,526.29
2018-07-10;1,548.38
2018-07-09;1,541.06
2018-07-06;1,524.17
2018-07-05;1,526.60
2018-07-04;1,522.34
2018-07-03;1,538.40
2018-07-02;1,540.86
2018-06-29;1,558.88
2018-06-28;1,531.66
2018-06-27;1,540.88
2018-06-26;1,529.23
2018-06-25;1,534.65
2018-06-21;1,549.55
2018-06-20;1,572.29
2018-06-19;1,564.87
2018-06-18;1,561.65
2018-06-15;1,570.43
2018-06-14;1,588.00
2018-06-13;1,571.07
2018-06-12;1,572.27
2018-06-11;1,571.18
2018-06-08;1,555.87
2018-06-07;1,555.65
2018-06-05;1,559.05
2018-06-04;1,564.73
2018-06-01;1,569.51
2018-05-31;1,549.94
2018-05-30;1,562.54
2018-05-29;1,572.30
2018-05-28;1,581.52
2018-05-25;1,586.98
2018-05-24;1,593.57
2018-05-23;1,602.10
2018-05-22;1,624.44
2018-05-21;1,626.25
2018-05-18;1,621.61
2018-05-17;1,618.95
2018-05-16;1,602.27
2018-05-15;1,606.72
2018-05-14;1,598.58
2018-05-11;1,603.25
2018-05-09;1,616.80
2018-05-08;1,608.94
2018-05-07;1,597.93
2018-05-04;1,577.08
2018-05-03;1,566.96
2018-05-02;1,590.97
2018-04-30;1,570.71
2018-04-27;1,580.78
2018-04-26;1,573.76
2018-04-25;1,557.29
2018-04-24;1,575.40
2018-04-23;1,587.65
2018-04-20;1,572.58
2018-04-19;1,558.23
2018-04-18;1,552.48
2018-04-17;1,545.16
2018-04-16;1,526.27
2018-04-13;1,526.66
2018-04-12;1,518.88
2018-04-11;1,504.71
2018-04-10;1,526.76
2018-04-09;1,511.32
2018-04-06;1,511.37
2018-04-05;1,527.22
2018-04-04;1,494.65
2018-04-03;1,508.80
2018-03-29;1,535.35
2018-03-28;1,512.13
2018-03-27;1,510.11
2018-03-26;1,496.59
2018-03-23;1,513.18
2018-03-22;1,515.84
2018-03-21;1,549.70
2018-03-20;1,551.97
2018-03-19;1,547.41
2018-03-16;1,573.48
2018-03-15;1,592.28
2018-03-14;1,585.31
2018-03-13;1,578.15
2018-03-12;1,593.83
2018-03-09;1,589.62
2018-03-08;1,585.53
2018-03-07;1,564.19
2018-03-06;1,559.94
2018-03-05;1,547.94
2018-03-02;1,526.46
2018-03-01;1,560.56
2018-02-28;1,583.39
2018-02-27;1,588.23
2018-02-26;1,586.96
2018-02-23;1,577.11
2018-02-22;1,573.88
2018-02-21;1,575.12
2018-02-20;1,569.68
2018-02-19;1,550.86
2018-02-16;1,556.93
2018-02-15;1,542.72
2018-02-14;1,532.15
2018-02-13;1,513.27
2018-02-12;1,521.62
2018-02-09;1,500.18
2018-02-08;1,519.77
2018-02-07;1,551.15
2018-02-06;1,511.60
2018-02-05;1,546.33
2018-02-02;1,584.79
2018-02-01;1,601.84
2018-01-31;1,593.15
2018-01-30;1,603.31
2018-01-29;1,610.40
2018-01-26;1,612.63
2018-01-25;1,604.49
2018-01-24;1,631.20
2018-01-23;1,643.71
2018-01-22;1,635.47
2018-01-19;1,630.62
2018-01-18;1,624.78
2018-01-17;1,622.85
2018-01-16;1,623.33
2018-01-15;1,627.29
2018-01-12;1,628.40
2018-01-11;1,630.29
2018-01-10;1,629.29
2018-01-09;1,632.29
2018-01-08;1,619.13
2018-01-05;1,611.31
2018-01-04;1,603.67
2018-01-03;1,587.56
2018-01-02;1,579.82
2017-12-29;1,576.94
2017-12-28;1,588.51
2017-12-27;1,594.99
2017-12-22;1,606.25
2017-12-21;1,616.27
2017-12-20;1,600.29
2017-12-19;1,611.43
2017-12-18;1,615.63
2017-12-15;1,594.35
2017-12-14;1,609.60
2017-12-13;1,619.82
2017-12-12;1,623.75
2017-12-11;1,619.47
2017-12-08;1,610.82
2017-12-07;1,599.29
2017-12-06;1,595.44
2017-12-05;1,613.36
2017-12-04;1,616.80
2017-12-01;1,592.20
2017-11-30;1,610.11
2017-11-29;1,613.56
2017-11-28;1,620.81
2017-11-27;1,608.74
2017-11-24;1,614.62
2017-11-23;1,612.57
2017-11-22;1,617.52
2017-11-21;1,636.65
2017-11-20;1,623.54
2017-11-17;1,617.70
2017-11-16;1,633.66
2017-11-15;1,627.00
2017-11-14;1,628.48
2017-11-13;1,630.51
2017-11-10;1,634.68
2017-11-09;1,643.26
2017-11-08;1,662.99
2017-11-07;1,670.24
2017-11-06;1,676.14
2017-11-03;1,677.65
2017-11-02;1,672.78
2017-11-01;1,672.03
2017-10-31;1,671.63
2017-10-30;1,662.32
2017-10-27;1,665.02
2017-10-26;1,658.79
2017-10-25;1,649.74
2017-10-24;1,650.47
2017-10-23;1,661.54
2017-10-20;1,667.50
2017-10-19;1,646.96
2017-10-18;1,644.73
2017-10-17;1,636.94
2017-10-16;1,638.33
2017-10-13;1,642.49
2017-10-12;1,644.65
2017-10-11;1,641.70
2017-10-10;1,644.34
2017-10-09;1,647.92
2017-10-06;1,646.28
2017-10-05;1,653.15
2017-10-04;1,651.09
2017-10-03;1,649.18
2017-10-02;1,640.65
2017-09-29;1,637.82
2017-09-28;1,624.98
2017-09-27;1,623.77
2017-09-26;1,610.76
2017-09-25;1,604.10
2017-09-22;1,600.77
2017-09-21;1,596.31
2017-09-20;1,585.38
2017-09-19;1,584.43
2017-09-18;1,582.78
2017-09-15;1,578.87
2017-09-14;1,587.52
2017-09-13;1,580.04
2017-09-12;1,580.13
2017-09-11;1,572.16
2017-09-08;1,552.32
2017-09-07;1,553.02
2017-09-06;1,541.27
2017-09-05;1,546.99
2017-09-04;1,551.89
2017-09-01;1,558.79
2017-08-31;1,546.86
2017-08-30;1,535.96
2017-08-29;1,520.90
2017-08-28;1,536.88
2017-08-25;1,540.82
2017-08-24;1,537.99
2017-08-23;1,542.14
